Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,-14,6,10,4,11,2,-5,3,7,31,26,-10,-14,-1,-3,0
-15,3,45,-53,-8,-1,-5,-6,-3,18,27,-3,-4,-10,0,-2,0
-5,-13,-26,-8,5,10,-2,3,8,26,32,5,-6,-9,-2,-1,0
-5,-13,5,17,-2,-1,-6,-3,3,13,12,-1,-5,-3,-2,-3,0
14,-17,35,3,12,6,3,3,0,24,-20,-4,4,8,-6,-2,0
-19,-4,-27,12,2,-4,4,3,21,-5,-8,24,-21,-4,-7,-4,0
-10,-6,49,12,2,-12,-1,-7,-19,-13,-40,-62,10,20,8,0,0
3,4,-15,11,16,2,-8,1,-3,12,7,2,7,9,6,5,0
7,-6,-5,19,-17,-16,-6,-2,3,-5,33,-1,-18,-14,-5,-4,0
0,-3,10,7,1,-1,1,-5,-3,-11,-19,4,8,14,5,3,0
-2,0,25,-9,-1,-13,-3,-1,0,17,-3,-16,-2,2,1,1,0
-2,-30,-24,5,-6,-4,-4,-3,-3,-5,9,-6,2,0,0,-1,0
0,10,-7,-16,1,-2,-1,2,-2,-5,19,16,-6,-13,-2,-3,0
11,11,35,7,-1,8,2,1,-7,-7,-9,-13,6,7,1,-1,0
-7,-7,-35,-11,-1,-3,-6,-5,2,0,24,54,-7,-3,-3,-2,0
4,2,-43,-68,-13,-4,3,3,-6,5,11,-4,3,8,-4,-3,0
-5,-2,-28,-30,5,6,-4,-2,2,0,-9,5,-3,-5,1,1,0
0,2,1,22,-3,1,-1,-2,-6,-7,-3,-7,-3,-8,-1,-1,0
4,4,17,15,-4,-2,0,1,-2,-4,23,1,1,0,-1,0,0
1,2,2,5,1,-3,0,-2,-2,2,-2,-7,0,-3,-1,-3,0
2,5,18,10,0,-1,-1,-1,0,-9,-9,-11,2,-5,0,1,0
1,6,-7,12,2,1,-2,-1,-1,-6,17,2,1,1,0,-1,0
-3,-2,-8,-9,-5,-2,1,-1,-1,-5,0,-10,-3,-4,-1,-1,0
1,1,4,13,1,3,-1,-2,-1,1,-7,-1,1,1,0,-1,0
-4,-6,-12,-6,-3,-5,-2,-1,1,1,-3,-12,-4,0,0,-1,0
-1,4,15,12,0,-1,-2,0,-5,1,-2,-10,-5,-4,-1,-2,0
0,1,-8,3,4,0,3,1,1,-1,-8,-3,-2,-2,0,-1,0
-2,-4,4,5,0,-2,-1,0,-2,-2,-13,-3,-3,-3,-2,-2,0
-1,-3,-11,0,-2,-2,-2,-1,-2,-5,-1,-4,1,2,-2,-1,0
0,3,7,4,0,-2,-1,-1,-1,-3,1,-2,2,0,1,-2,0
0,5,-5,0,-1,-2,-1,-2,-1,1,-8,-6,-2,-2,-1,0,0
0,-1,5,2,1,-2,-1,-2,-1,1,-4,-4,-3,-2,-4,-2,0
-1,-6,-10,-4,-3,-2,0,-2,1,0,-1,-4,0,3,3,0,0
0,1,6,6,4,2,0,-2,-1,-1,-6,3,4,-2,-2,0,0
-2,1,-4,-3,-3,0,-2,-2,-2,-2,-16,-17,-4,-3,-3,-2,0
1,3,11,9,0,3,-1,-1,-2,-3,-2,-6,-2,0,-2,-1,0
-3,3,-3,4,-4,-5,-4,-2,1,5,-2,5,-2,-3,-1,0,0
-4,2,-2,-3,-3,-2,-1,-3,0,6,-1,0,0,-1,0,-1,0
-1,3,1,-9,-3,-1,0,0,-1,1,0,-1,1,-3,-1,-2,0
-1,-6,3,1,1,0,0,0,0,-5,-2,3,2,1,1,-1,0
-2,1,-3,1,2,1,0,-2,1,0,0,0,-1,0,0,2,0
-2,-3,0,2,-1,-1,-3,-2,0,-6,-6,0,-3,0,-1,-1,0
-1,-5,-2,1,0,-4,-2,-1,-2,-4,1,2,-1,-2,-2,-1,0
1,0,-1,0,-1,-1,1,-1,-1,-7,0,0,-3,-2,-2,0,0
1,-9,-3,0,0,0,-1,0,-2,-12,5,2,-1,-1,-3,0,0
1,-10,0,-2,-1,1,-1,0,0,-4,-3,-3,-1,-1,-1,-1,0
1,-5,0,3,-1,4,0,-1,-1,0,0,-2,0,2,-1,-2,0
-1,2,-1,-1,-2,-1,-2,-1,1,2,-2,0,-2,-2,-2,0,0
-4,1,-2,0,0,-2,0,-1,1,1,0,-1,-2,-2,2,-2,0
-1,0,-1,-2,-1,-2,-2,1,-2,-2,1,-3,0,-1,-1,-1,0
2,3,-3,-2,-1,-3,-2,0,-3,0,1,3,1,-1,-2,-4,0
0,-1,-1,-2,-3,-5,0,1,-1,-1,-3,0,1,-3,-2,-1,0
-4,-1,1,2,1,0,0,-1,2,-1,0,-1,-3,-2,-1,0,0
-1,-1,-1,0,-2,-1,-2,-1,-2,1,-1,0,-1,0,-2,-3,0
0,4,-1,0,-1,-2,0,0,-4,0,0,-1,1,-2,0,-1,0
2,3,1,-2,-2,-1,0,2,-5,3,-3,-2,0,4,1,-4,0
2,1,1,-2,-1,-1,-1,0,0,2,-3,-2,-1,-1,0,-1,0
-1,5,0,-1,-1,-2,-2,-1,0,1,-1,0,-2,-1,-3,-2,0
-2,-2,-1,-1,1,1,-1,-2,-2,2,-1,-1,-2,-1,-1,1,0
-2,-2,-3,0,1,1,-2,-4,0,0,-1,-1,-1,-3,0,2,0
-2,-2,-1,0,-1,-1,-3,-2,0,-1,-2,-1,-1,-1,-2,-1,0
-2,1,-1,-2,0,2,1,-1,-2,-1,-1,-2,-1,-1,-2,0,0
-2,-1,0,-1,-2,-3,0,-1,0,-2,-2,0,0,-2,-3,-1,0
-3,-1,-1,-1,-3,0,0,-1,-1,-2,0,-1,0,0,-1,-1,0
0,1,0,-1,0,-1,-1,0,-1,-5,1,-1,-3,-2,-1,-1,0
-1,3,-2,-2,-1,-2,1,-2,-1,-1,-6,-1,-1,-1,0,0,0
-1,-4,3,0,0,-2,-1,-1,0,1,0,-2,0,-1,0,0,0
3,3,7,2,2,3,-1,1,-5,-25,-32,-6,-3,-2,-2,-1,0
1,8,2,-1,-1,0,-1,1,-1,-14,-16,1,-5,-11,-1,2,0
-5,0,20,-5,-1,-2,-6,-9,-1,7,0,3,5,26,1,-3,0
-2,-3,-9,-2,0,-4,1,0,1,3,-3,-2,-2,-4,-1,2,0
