Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,2,-8,-1,1,-1,1,0,0,-1,1,1,-1,-4,0,0,0
-1,-1,3,-1,0,-1,-1,0,-1,1,-5,-4,0,0,-1,-2,0
0,8,6,1,-1,-1,-2,0,-1,-8,-11,2,-1,0,-1,-2,0
-1,0,-7,-6,-1,1,-1,0,-1,0,0,2,0,-2,0,-1,0
2,4,8,2,0,-3,0,-1,-2,-7,-9,0,-1,-2,-2,0,0
0,-2,11,5,0,-1,-1,-2,-2,0,0,-5,-1,-2,-1,-3,0
-1,3,-10,-3,-1,0,-1,-1,1,4,9,-2,-1,-2,-1,0,0
0,0,5,1,-1,-1,0,-2,-1,-8,-4,-1,-1,0,0,-2,0
-3,-9,-22,-5,-2,-2,-2,0,0,4,-2,0,0,1,-1,-2,0
-1,6,0,-2,-1,0,0,0,-1,-3,1,1,-2,0,-1,-1,0
1,2,14,2,-1,0,-1,0,-3,4,-8,-4,-2,0,-2,-2,0
-1,1,6,1,-1,0,-2,-1,-1,-9,-9,-2,-1,-1,-1,1,0
0,2,16,-2,-3,-1,-1,0,-2,-5,-10,-3,-2,-2,-2,-1,0
0,-2,-1,-1,-2,-3,-1,1,-1,2,-13,-2,0,-2,-1,0,0
0,1,3,1,-1,-1,0,-1,1,-2,9,0,0,-1,-1,-1,0
0,1,6,0,0,-2,0,0,-3,-5,-8,-2,-3,-1,-1,-2,0
-1,5,-13,-3,0,-1,0,-3,-3,-7,-3,1,0,0,1,-2,0
0,-2,-9,-4,-1,-1,-1,-1,0,3,7,2,-2,-1,-1,-1,0
0,1,5,0,-1,1,0,0,0,3,2,0,0,0,-1,0,0
0,-2,-6,-3,-2,-1,1,-1,-1,-1,5,-2,0,-2,-1,0,0
-1,-1,-6,3,-1,-1,0,0,1,-8,2,-5,-1,-1,2,0,0
1,-5,1,1,-2,-1,-1,0,0,3,0,-1,1,-1,0,-2,0
-2,-1,0,1,1,-1,-2,-2,0,3,0,2,-1,-3,-2,-1,0
-2,4,-5,-1,-2,-1,-1,-1,-2,-4,0,2,-1,0,-2,-1,0
-3,-7,1,-1,-1,-1,-2,-1,0,3,3,-4,-2,-1,0,0,0
0,0,-1,1,-1,-1,-2,0,-1,0,10,-2,-1,0,0,-1,0
-1,-1,-15,-5,0,-4,-1,0,-3,1,-11,-1,0,-1,-1,-1,0
-1,-1,-2,-3,0,-3,-1,0,-2,-8,-2,0,-1,-2,-1,0,0
-1,0,12,2,-2,-2,-1,-1,-1,-1,2,-1,-1,0,-2,-2,0
-1,-3,-6,-1,-1,-1,-1,-2,1,5,1,3,-1,-2,0,0,0
-3,-3,3,-4,0,0,-1,-2,-1,-3,-4,-2,-2,-2,-1,-1,0
-2,-2,-1,1,-1,-1,-1,-2,0,3,-3,-3,-1,-2,0,-1,0
-1,-3,-3,2,-1,-2,-1,-1,-1,3,6,0,0,-1,0,-2,0
-1,-7,-9,-5,-2,-1,-1,0,0,1,-3,-1,0,-1,-1,-1,0
-1,0,0,-1,-2,-1,-2,-1,1,6,19,3,0,0,-1,-2,0
-5,-8,-26,-6,0,-2,0,-2,0,-3,-11,-1,-2,0,0,-2,0
-1,0,1,0,1,1,0,-3,-1,-1,3,1,0,0,-1,1,0
-2,-2,-1,0,0,-1,0,0,-3,0,4,0,1,1,-1,-2,0
1,0,1,-3,-1,-1,-1,-1,2,-8,-2,2,-1,-1,0,0,0
0,1,5,-5,-1,1,-3,-2,-2,1,-7,-2,-3,-2,-1,-1,0
0,0,-7,-1,-2,-1,-1,-1,0,5,12,1,1,-1,-2,0,0
1,0,3,3,0,0,-3,-2,-1,2,0,-2,-1,-2,0,0,0
-2,-7,-6,0,-1,0,-1,0,-3,-3,-16,-1,-2,-2,-2,-1,0
1,1,11,1,-1,1,0,0,0,-1,-7,-1,-1,0,-2,0,0
0,2,3,2,1,-1,-1,0,0,-5,-6,-4,-1,-1,-1,-1,0
1,2,8,1,-2,-1,0,-2,1,-1,-2,1,1,1,-1,-2,0
-2,-2,1,-4,-1,-1,0,-1,-2,-1,-4,-4,-2,-1,-2,-1,0
-3,1,0,0,-2,-1,-1,-2,-2,-1,-1,0,-1,0,0,-2,0
-1,-2,-2,1,-2,-1,-2,0,1,2,0,-1,0,0,0,1,0
-2,-10,-12,-6,-3,-1,-2,-1,-1,2,1,-2,-1,0,0,0,0
-2,-11,-22,-2,-2,-1,1,-1,-3,-3,10,-1,-2,-1,-1,0,0
0,0,1,4,-1,-2,-2,1,-1,-2,2,-3,0,-2,-1,0,0
1,7,9,0,0,0,-1,-1,-2,-2,-8,0,0,0,-1,-2,0
0,-4,-6,-2,0,-1,-2,-1,-1,1,1,-3,-3,-2,-2,-1,0
-1,3,7,-3,-2,-1,0,-1,-1,-2,-8,-1,0,-1,1,-2,0
-2,-1,5,2,-2,-1,1,1,0,-3,-11,-3,-3,-1,-2,0,0
1,5,7,3,1,-1,-1,1,-1,-6,-4,0,-1,0,0,0,0
-2,-2,-7,1,0,0,0,-1,-2,-10,-1,-1,-1,-1,0,0,0
-1,-2,-2,-1,-2,-1,1,-1,1,8,4,1,0,-2,-1,-2,0
-1,5,1,-2,0,-2,-1,-2,0,1,3,3,-1,0,-3,-1,0
1,0,-1,-2,-3,-2,-1,0,-1,-3,-4,-2,-2,-1,-1,-1,0
-1,-2,-5,-4,-3,-1,-2,-2,1,-2,1,5,1,0,-1,-1,0
-2,2,3,-3,0,-2,0,1,-2,1,-8,-4,-3,-1,1,0,0
-1,2,6,-1,0,1,1,-1,-1,-1,1,-3,-1,-1,-1,0,0
-1,5,0,1,1,1,-1,-3,-3,-15,-7,-4,-1,-3,-3,-2,0
-1,-3,-3,2,0,-1,0,-1,-1,-1,-1,0,-1,-3,-1,-2,0
-1,2,2,1,0,0,-3,-1,-2,-5,0,-2,-1,-1,0,0,0
0,0,1,-1,-2,-3,0,0,0,0,-2,1,-1,-1,1,-1,0
0,-2,-3,-2,-1,-1,-1,-1,1,9,7,6,0,0,-2,-1,0
-1,-1,4,-2,-1,0,-2,1,-3,-4,-19,-5,-1,-1,0,-2,0
-2,-8,1,-2,-2,-1,-1,-1,-2,0,-9,-1,0,0,-1,-1,0
-1,2,-2,3,1,-1,1,-1,-1,0,19,0,-1,-2,-1,0,0
-2,0,2,-3,-2,0,-1,-2,-1,-2,2,2,-1,-1,-1,0,0
-2,0,-1,-5,-3,-2,0,0,-3,1,-10,1,-1,-1,-1,-2,0
0,-1,-1,1,1,-1,0,-1,1,-8,-5,-3,-2,-2,0,-2,0
2,1,-1,1,0,0,-2,0,1,-1,12,-2,0,0,0,-2,0
-2,-9,-16,-1,-3,-1,-2,0,0,5,-2,-3,-1,0,0,-1,0
0,1,7,-2,0,-2,-2,-2,1,-3,-10,-7,-1,-1,-3,-1,0
-1,2,1,0,1,-1,0,0,0,0,6,2,-1,-1,-1,-1,0
-2,-1,-5,-1,0,-1,0,-2,-1,0,0,-6,-1,-1,0,0,0
-1,5,2,1,0,-1,0,-2,-2,-6,-11,2,0,1,0,-3,0
0,6,4,-2,-3,-2,-1,1,-1,-9,-2,1,-1,-2,-1,-2,0
-1,-7,-1,-1,-2,-2,-1,0,-1,22,12,-2,0,-1,0,0,0
-2,-7,1,1,0,0,0,-2,0,18,2,0,-2,-1,-2,-3,0
-4,-4,1,-1,-2,-1,-2,-3,-1,-4,-8,-7,0,-2,0,-1,0
-1,-4,0,-1,-3,-1,0,-2,0,-2,-3,-1,-1,0,-1,0,0
0,-5,-7,-1,1,-1,-1,0,0,7,18,7,-1,-1,-1,0,0
-1,-3,1,-5,0,0,-3,-2,-3,-19,-38,-1,0,-1,-1,2,0
