Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
0,-6,-20,10,5,1,2,0,-2,11,9,-4,-4,-2,0,-1,0
2,0,25,8,-1,-1,2,2,0,-5,3,-2,-4,-5,-4,-1,0
-1,6,4,-1,0,1,0,-1,0,3,2,-3,0,0,-2,-2,0
2,19,17,0,6,4,1,0,5,-14,26,26,13,3,3,3,0
0,-27,-16,-5,-1,-3,-1,0,-5,38,30,-7,-4,-4,-3,-5,0
-2,-10,-18,-5,-3,-1,-2,-1,-4,5,-28,-9,-8,-4,-3,-3,0
-1,4,20,1,1,-1,-2,-1,-2,-10,2,-2,-4,-4,-3,-2,0
-2,-2,5,0,-1,3,-2,-1,0,-3,8,-3,-2,1,1,1,0
-1,-3,-2,0,-3,-4,-2,-2,-3,-11,-37,-17,0,-3,-1,0,0
-1,-2,3,8,-4,-2,-1,-2,-1,3,-27,-10,-4,-2,-4,-2,0
0,-6,-18,-4,-1,0,-2,-3,2,-4,18,10,3,3,2,-1,0
0,8,7,-1,-2,-4,1,2,1,-8,-5,-1,-3,0,-2,0,0
0,2,-6,-2,-1,3,0,0,-1,3,17,1,-1,0,0,-1,0
-2,-6,-13,-3,0,-1,-3,0,0,-3,9,-3,-7,-5,-3,-1,0
-1,-9,-4,-12,-7,-6,-5,-1,-1,-4,-37,2,5,4,0,0,0
3,1,5,9,7,5,3,-1,1,-5,-1,-6,-5,-6,-3,-1,0
0,5,18,0,1,1,1,-1,1,1,13,5,-2,-1,-1,-1,0
-2,0,-3,-4,-2,-3,-3,-2,-1,-2,11,-2,0,0,0,-1,0
-1,0,-15,-4,-6,-7,-1,0,-4,-9,2,5,0,-2,-2,-2,0
0,0,-12,0,3,2,1,1,-1,-3,-5,0,0,2,0,-1,0
-2,0,-14,-4,-3,0,-1,-2,-1,-1,2,-2,-5,-5,-3,-1,0
-1,1,16,1,-2,-2,0,-1,-1,-6,-11,-5,-2,-1,-1,-1,0
-1,0,-10,-5,-4,-4,-1,0,1,-1,9,3,1,4,1,0,0
0,3,-1,1,2,0,0,1,-1,-2,-7,-3,-1,-2,-1,0,0
-2,-3,-8,-1,2,0,-1,-2,0,3,8,-2,-3,-5,-1,-2,0
-1,2,0,1,-2,-3,-1,-2,-1,-1,0,-1,-1,-1,-2,-1,0
0,-2,-7,0,-2,0,1,1,0,0,-3,-7,-2,-2,-1,-2,0
-1,-3,-3,-3,-6,-3,-2,-2,-1,3,3,-8,0,-2,-1,0,0
2,-4,-5,12,8,6,5,2,-2,-1,1,-2,-3,-3,0,-1,0
-1,-3,-5,-4,-4,-4,-3,-2,0,1,3,1,0,-1,-2,-2,0
-1,7,44,4,1,-2,-2,-1,-1,-10,-39,-4,0,1,-1,-2,0
-3,-13,-20,-5,0,-1,-2,-1,-2,-1,-1,-5,-3,-1,-2,-2,0
-1,5,15,3,0,-2,-2,0,0,4,28,7,5,3,0,-1,0
-1,0,-3,-3,-3,-1,-2,-1,-2,1,5,-5,-7,-7,-4,-1,0
1,5,15,-3,-4,-1,-2,0,-1,-4,-20,4,1,0,1,0,0
-2,-1,-5,3,1,2,0,-3,0,-3,1,6,1,2,2,1,0
-2,-3,-10,-9,0,0,1,-1,-3,-4,-22,-7,-6,-3,-1,-2,0
-2,-2,-7,-7,-6,-5,-2,-2,0,2,5,2,0,1,1,-1,0
-2,-5,-10,0,-2,-1,-3,-2,-1,1,2,6,5,3,0,-1,0
0,4,12,1,2,0,0,1,-2,0,-5,-11,-5,0,-2,-1,0
-2,-3,-16,4,-3,-4,-2,-3,-2,-3,6,-4,-3,-4,-3,-2,0
-2,0,3,1,2,-1,-3,-1,-1,-4,-1,-5,-2,-4,-2,0,0
0,-4,-14,-4,3,5,1,-1,0,1,6,0,-4,-1,0,0,0
-1,1,3,2,-1,-2,-2,-3,-3,-3,-5,1,1,1,0,0,0
-1,-1,-2,1,2,2,0,-2,-2,-2,3,-4,-3,-4,-2,-1,0
0,1,1,4,6,3,2,1,-2,-2,-4,-1,-2,-3,-2,-1,0
-1,-2,-3,-2,-6,-8,-4,0,0,-1,4,-1,3,3,1,-1,0
0,-1,-4,1,-2,0,1,0,-2,0,-1,-3,-3,-5,-2,-3,0
-1,-3,-3,0,5,3,1,-1,-1,-1,1,-2,-4,-2,-2,0,0
-1,0,6,-11,1,1,-1,1,-1,-3,-4,12,9,2,-2,-1,0
-1,-2,-8,-3,-5,-4,-2,0,-1,-1,-1,0,0,2,1,-1,0
-1,0,1,0,-1,1,-1,-1,-1,-2,-1,-9,-7,-7,-2,-2,0
0,1,-1,1,2,2,1,1,0,2,3,4,3,-2,-2,0,0
-2,-2,0,2,-2,2,1,-1,-1,0,0,-3,-3,-3,-2,-2,0
-1,-4,-2,-1,-1,-1,-1,-2,-1,-1,-2,-4,-2,-1,-2,-1,0
-3,-2,-4,-1,-1,-3,-2,0,0,0,2,0,0,2,1,-2,0
-2,0,0,-2,-7,-3,-3,-1,-2,0,-1,1,2,-1,-2,-2,0
0,-2,-7,-8,-2,-10,-3,-3,-2,-3,-1,-8,-6,-4,2,-1,0
-2,-2,2,8,8,-8,-10,-4,3,1,4,5,-13,30,1,3,0
0,1,3,8,7,-2,1,1,-1,0,-6,-3,0,1,-2,-1,0
-4,-4,-8,-15,-15,-21,-2,-1,-4,-4,-2,-6,4,-4,2,-1,0
1,2,4,6,3,4,2,-1,1,0,1,3,-5,0,-2,1,0
-1,-1,-3,-4,0,4,-2,-1,-3,-2,-4,-5,-1,-12,-5,-2,0
-2,1,0,-4,-2,3,1,-1,-1,-3,-1,1,4,-5,-1,-3,0
0,-2,0,-9,-11,3,1,-1,0,-1,-1,6,4,-1,0,0,0
-3,-2,-1,-4,-1,1,-1,-1,2,3,5,16,-6,1,1,0,0
0,0,-8,-4,-6,-5,-5,-1,-3,-1,-5,-18,0,-2,-4,-5,0
0,5,7,-1,-1,-1,-1,-2,0,-5,-18,-14,7,5,3,0,0
1,1,11,21,-5,4,3,0,1,4,14,18,11,-1,4,1,0
-3,-5,-13,-8,0,0,-1,-1,0,1,0,0,-3,1,0,-2,0
-2,-6,-7,-13,-7,-5,-4,-1,-5,-1,2,-5,-9,-9,-4,-3,0
0,2,9,19,13,5,0,0,6,11,18,14,-1,0,-1,2,0
-6,-7,-4,7,4,8,2,0,-2,-6,-21,-1,1,-6,-3,0,0
-1,2,-4,-19,-14,-5,-5,-3,-2,1,3,2,-3,-1,0,0,0
0,-7,-2,0,5,3,3,0,-1,-2,6,-7,-6,-3,-3,-2,0
-1,-2,-4,-5,-2,-4,-2,0,-3,-1,-17,-12,1,0,-2,0,0
3,6,-2,-7,-5,2,0,0,-1,1,-1,10,-1,-3,-2,-2,0
1,-7,8,1,-3,-2,0,-2,1,1,-1,-2,5,9,4,1,0
0,1,-13,-3,0,-3,-3,0,0,1,-2,-9,-2,0,-1,-2,0
-4,-3,-3,-3,-3,-3,-2,-2,-1,-4,-7,-9,-5,-11,-6,0,0
2,3,11,11,12,10,5,1,4,10,7,3,1,5,2,2,0
-3,-12,1,11,-3,0,0,0,-6,-14,2,-8,-7,-7,-5,-4,0
-4,-4,-13,-6,2,-3,-2,-5,-3,-9,20,-11,0,3,2,-1,0
4,32,6,17,-5,-2,-1,0,-3,-10,-11,-5,11,-1,-1,0,0
-4,-32,-26,18,-5,-6,-2,-2,1,-2,-13,-22,-2,1,0,0,0
0,-6,-3,-17,-7,0,-1,-2,-1,9,12,3,-5,-3,-1,-1,0
3,25,26,6,6,3,-1,1,-3,-6,9,16,12,8,2,-2,0
0,-5,-8,-10,-3,-3,-2,1,-2,-2,-18,-15,-10,-6,-3,-4,0
0,-5,-6,13,8,1,0,0,1,3,3,2,-16,-6,-1,1,0
1,3,12,0,13,2,2,-1,-1,-6,-11,4,4,7,1,-1,0
-3,5,10,-18,-11,-6,-1,0,-2,-5,-9,-1,-3,-6,-5,-4,0
-3,2,3,-14,-6,-3,-1,-3,-1,-4,13,10,-3,-4,-1,-1,0
-1,-7,-25,-17,-1,0,1,0,2,13,-19,13,6,5,3,0,0
-4,-12,4,4,2,1,-1,-1,-1,-5,2,-2,4,3,1,-1,0
0,9,15,-14,-9,-4,-4,-2,3,7,-1,-4,-3,-6,-1,0,0
-4,3,2,1,-1,0,-2,-4,-3,-16,-67,-11,-8,-4,-2,-2,0
-2,-13,11,12,7,-2,-1,-1,-2,-20,9,2,-4,-3,0,-2,0
1,4,17,4,3,4,1,0,1,7,14,4,3,1,0,0,0
0,-2,5,-6,-3,-4,0,-2,0,23,34,-2,-4,-1,-5,0,0
-1,-18,-23,0,-8,-4,-2,-1,-3,-14,-20,-6,5,1,1,-1,0
1,5,8,5,7,9,3,0,-2,-1,18,15,3,-9,-1,-1,0
-1,1,2,7,0,5,5,-2,-2,2,-19,-13,-11,-5,-14,-2,0
-1,-3,2,-6,-9,-6,-3,-3,-2,0,-11,-8,2,5,-1,-2,0
3,-1,-10,-27,-4,-4,-2,1,0,9,19,42,16,2,5,2,0
-3,0,-14,-17,-8,-4,-1,0,0,10,-5,2,-1,-1,-1,-1,0
-2,-11,-21,-6,0,-2,-2,-2,2,17,30,-11,-2,3,2,-1,0
2,1,27,10,2,1,-2,-1,-6,-11,-46,-14,-6,-4,-2,-4,0
1,4,21,2,-1,-1,-2,0,0,7,26,0,7,3,2,0,0
-1,5,-16,2,0,0,-1,-2,1,-9,-2,-5,-5,-4,-2,1,0
0,6,-5,8,0,0,1,1,0,-13,1,0,-3,-6,0,-2,0
-1,-2,5,1,2,2,0,-1,-2,-13,-11,-5,-2,1,0,-3,0
-2,2,9,5,-1,-5,-4,-1,2,21,32,2,-3,-6,1,0,0
