Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,-13,-10,-8,-1,-3,-1,-2,-1,3,11,2,-1,0,1,0,0
-1,-4,-22,-1,-1,-1,0,-1,-2,3,1,-4,-1,-1,-1,0,0
1,-11,-5,-2,0,-3,-1,-1,-1,-12,0,2,0,0,-2,-1,0
0,23,10,-4,-2,-1,-2,0,-2,-12,4,7,1,-1,-2,0,0
0,5,-3,-1,-3,-1,-1,-1,-4,-21,2,-6,4,2,2,1,0
-2,0,-2,1,-2,-1,-1,-2,1,1,-7,-1,-1,1,0,-2,0
-2,-6,4,0,-2,-2,-1,0,0,9,8,1,-1,0,-1,-1,0
1,-9,-18,0,1,0,1,2,-4,-2,-19,-6,-3,-1,-2,-1,0
-1,2,3,0,1,2,-1,-3,-1,-1,-4,0,-3,-3,-4,-2,0
0,2,16,1,-1,-2,0,1,1,-18,-4,-2,-2,-1,0,-1,0
-2,7,-6,2,0,-1,-1,0,-2,-2,2,1,3,0,-1,-1,0
0,0,14,-3,-2,-1,-1,-2,-1,-9,-12,-6,-3,-4,0,-2,0
-1,4,-21,0,0,0,-1,-1,-2,-12,3,3,-3,1,-2,-2,0
-7,-8,-5,-4,-3,1,-1,0,-1,6,4,4,0,0,-3,-2,0
1,-7,9,-4,-3,-2,-2,-1,0,11,0,-4,-2,-4,-3,-1,0
-1,-11,-5,-5,1,0,0,0,-1,6,11,1,0,-1,-1,1,0
0,-2,3,6,0,-2,-1,-2,-1,-7,-4,-1,-3,-2,-1,-1,0
-1,1,-2,0,4,4,0,-1,0,12,4,-2,1,0,-1,0,0
0,-1,6,-1,-1,0,1,-1,-1,2,-11,-5,-4,-2,-1,-1,0
-2,-16,8,-1,-3,-6,-2,-1,2,13,7,5,2,2,0,1,0
-7,-14,3,3,5,5,0,0,1,23,-3,-8,1,-2,0,0,0
-2,-30,5,4,0,0,-2,-4,-2,-7,-9,-6,-5,-3,-3,-2,0
0,3,-22,-10,-7,-5,-2,-2,0,-16,-2,0,-2,-2,-2,-1,0
2,15,5,12,7,1,1,2,-2,-7,-3,-1,1,-1,0,-2,0
-2,2,6,-4,-2,-1,-2,-1,-2,0,-7,-1,-2,-2,-1,-1,0
2,-3,1,-4,-6,-4,-3,-2,-1,6,0,1,3,1,1,0,0
2,12,1,3,3,3,0,3,-1,-11,5,-3,0,-2,-1,0,0
-2,-1,-9,-3,-3,-2,-2,0,1,17,6,4,0,-3,-2,-3,0
0,-8,2,-1,4,-1,-1,-2,1,12,8,0,1,0,0,0,0
-2,-18,-31,-3,-3,-2,0,-1,-2,-18,-19,-3,-6,-3,-3,0,0
3,31,5,1,-1,-1,-2,0,-1,-23,6,0,1,1,1,-2,0
-1,16,14,2,-2,-3,-1,-1,-1,-2,-6,-6,-2,-3,-3,-1,0
-3,-15,13,2,0,1,-1,-2,-4,4,-9,-4,1,0,-2,-1,0
-1,-7,7,1,-1,-1,0,0,-2,8,-15,-1,-2,1,0,-1,0
1,-6,-7,0,-2,-2,0,0,0,4,-1,3,-6,1,-3,-2,0
0,-3,-4,-6,4,2,0,2,-1,-9,15,1,-3,-3,-2,-1,0
-2,-4,7,0,1,0,-1,-1,0,-1,-5,1,-2,1,-1,0,0
0,9,29,-2,-3,-2,-1,-2,0,-6,-21,1,2,1,1,-1,0
-1,8,-5,-5,-3,-2,-1,-1,-1,-1,-3,3,-1,-1,1,-1,0
0,4,-5,1,0,-1,-1,0,0,0,9,-7,-4,-1,-2,-1,0
-1,-6,-3,1,-3,-5,-2,-2,0,-18,3,2,-2,-3,-2,-2,0
0,18,11,4,3,5,2,0,-4,-29,-21,-1,1,-2,0,-3,0
