Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-2,0,8,-1,-2,-2,-3,-4,0,-4,-23,-4,-3,-2,0,-1,0
-1,-6,1,-2,-2,-1,0,-1,-1,7,1,-1,-1,-3,-2,0,0
-1,0,8,2,1,2,1,1,-2,-3,3,0,-2,-1,-2,-1,0
-1,-1,-2,-1,-1,-3,-1,-1,-1,3,-7,-1,-3,0,-1,0,0
-1,9,6,1,-2,-1,-1,-1,1,4,28,2,0,-1,-1,0,0
-6,-21,-40,-6,-2,-2,-2,-3,1,4,4,-2,-1,0,-1,0,0
-4,-1,5,0,1,-2,0,-3,-2,1,1,-1,0,0,-1,-1,0
1,-1,11,2,0,0,0,0,-1,3,-1,0,-2,0,-1,-2,0
0,-3,-7,-2,-1,0,-2,-1,-2,-6,-13,-1,-2,-2,0,-1,0
-1,1,1,-5,-3,0,-2,-1,-1,2,-12,-3,1,-1,1,-1,0
0,2,6,0,-1,-2,-3,0,0,1,4,2,1,-1,1,2,0
-2,-1,3,1,0,-3,-1,-3,0,-1,5,1,-4,-2,0,-1,0
0,-2,-4,0,-1,-1,-1,0,0,1,-1,1,-1,-1,-2,-2,0
-2,-4,-2,-1,-2,-2,-1,-2,-1,1,4,-2,0,2,-1,-1,0
0,1,-5,-3,-1,1,-1,0,-1,-3,-4,-1,0,-2,0,-1,0
-3,13,10,2,0,1,0,-2,-5,-39,-7,0,-2,-3,0,-2,0
-2,0,-1,-3,-1,-2,-1,-1,-1,3,8,-2,1,-1,-2,0,0
1,4,-2,-1,1,-1,-1,0,-6,0,-11,-1,2,-1,-2,-3,0
0,0,4,-2,-1,-2,-1,0,0,-2,3,-1,-2,-1,0,0,0
-2,-6,1,1,1,-2,-1,1,1,11,1,3,1,0,-1,1,0
1,-8,1,0,-1,-1,1,0,-5,4,-15,-3,-1,-1,-3,-2,0
0,-2,-22,-5,-2,-1,0,1,-1,7,-1,-1,0,-1,-1,0,0
-1,-9,5,-2,0,-1,-2,-2,-1,2,-7,1,-1,0,0,1,0
1,-4,9,-1,-2,-1,-3,0,-2,4,1,-1,-2,-1,-3,-3,0
-2,-1,-4,-2,0,-1,0,-1,-3,-3,6,1,0,0,-1,-2,0
1,-2,2,-2,0,1,1,-2,1,5,2,0,-2,-2,-2,-1,0
1,0,-4,0,-2,-1,0,-1,-1,-5,7,-1,0,-1,-2,-1,0
0,0,-3,-1,-2,-1,-2,-1,-2,0,7,-1,-1,-1,-1,-2,0
1,11,-8,0,-1,-1,-1,0,-2,-28,-9,-3,-2,-2,-1,-2,0
-1,3,6,2,-2,-2,0,-1,0,3,6,1,-1,-1,0,-1,0
-4,-5,-6,-3,-2,-2,-3,-3,1,13,-10,-6,-3,-2,-1,0,0
-1,-1,-1,1,-1,-1,-2,0,0,-6,-8,-4,-3,0,0,1,0
1,18,5,2,1,0,0,1,1,-10,6,1,-1,-1,0,-3,0
-3,-5,-5,-3,-1,0,-1,-3,0,7,-1,0,-1,1,-2,1,0
0,-6,1,2,0,-1,0,-2,1,8,10,2,-1,-1,1,-1,0
-2,-6,-5,-2,-2,-1,0,0,0,11,-3,-2,-1,0,0,0,0
-4,2,1,0,0,-1,-1,-2,-1,0,8,6,1,0,0,-1,0
