Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
0,10,15,0,2,-2,-3,-1,0,-17,2,0,1,-1,0,-4,0
-1,6,12,-1,-3,0,1,-2,1,-8,-22,0,-10,-6,-2,-1,0
-1,-3,-12,0,10,5,-1,0,-1,12,49,9,-3,-1,-3,-1,0
1,-7,-9,-5,7,0,-2,0,-2,-11,-7,-4,-3,-1,-2,-3,0
1,22,20,-2,-5,-4,1,0,0,-9,-38,-3,1,-2,-1,0,0
-4,2,30,1,-4,-3,-2,-1,-5,-12,-17,-2,3,-2,-2,-2,0
1,1,-7,2,0,-2,-1,1,-2,-5,0,-3,0,-1,-2,-1,0
2,9,-3,0,-3,-4,-3,-1,-2,-14,-16,0,1,1,1,1,0
-2,9,20,-1,-6,-2,0,-3,-1,5,19,4,8,4,2,-2,0
-2,9,-17,-1,-4,-1,-2,0,0,16,28,-2,0,1,0,0,0
-1,-31,-12,-3,-7,-3,-1,0,-1,-8,-17,-3,-13,-7,-1,0,0
0,0,14,5,18,4,0,-1,3,4,-17,1,4,4,0,1,0
-4,5,47,1,-5,-4,-3,-3,2,-10,-49,-5,0,-1,-2,-1,0
-2,-6,0,-8,-8,-4,0,-4,-3,-2,11,-2,-1,-3,-2,-4,0
2,5,-13,3,6,2,-1,-1,-4,-6,15,-1,-1,2,0,-1,0
1,27,2,4,-4,-2,-1,1,1,-3,4,-2,-2,-2,-2,0,0
-2,-4,-4,-5,-6,-5,-3,-2,0,9,9,0,2,3,0,-1,0
-3,-15,-14,2,0,1,-1,-1,-3,2,-7,-7,-3,-4,-2,0,0
-4,2,-32,-2,-1,0,-1,1,0,6,-11,-4,2,-3,-1,-1,0
0,6,25,6,2,5,3,0,-2,-18,-23,4,-1,2,2,-1,0
1,-16,27,0,-4,-4,-3,1,-1,24,13,-3,-4,-8,-3,-3,0
4,-2,24,-2,2,5,0,-1,-3,-6,-27,-3,0,-4,-2,0,0
-1,10,-5,-3,-2,1,2,1,1,-13,-5,-7,-10,0,0,0,0
-5,-11,25,1,-2,-9,-4,-3,-1,-8,-39,2,2,5,0,-2,0
2,9,6,0,-1,1,-1,-1,-3,-19,-10,1,0,-1,-4,-2,0
0,7,15,-6,-4,0,0,0,-3,-12,-20,-3,0,0,0,-3,0
-1,10,-6,-1,2,-1,-1,-3,-3,7,9,0,1,1,-3,-1,0
-1,-9,-17,-3,-5,-1,0,-1,-2,10,30,2,-2,-1,-3,-1,0
-1,3,-13,1,3,0,2,-1,-4,-12,3,-1,-3,-3,0,-1,0
-2,-10,-20,-2,-2,-3,-4,-1,0,1,12,-3,2,0,0,-1,0
-1,-6,-10,0,1,-4,0,1,1,-3,12,4,3,10,0,0,0
0,14,-22,5,1,-4,0,-1,1,-5,-11,-10,-4,-3,-1,-3,0
-1,-2,23,1,-4,0,0,-2,-3,0,-31,-4,-4,-6,-2,-2,0
1,8,-2,0,-1,0,1,1,-1,-10,20,0,-6,-5,-2,0,0
0,-16,-14,-5,3,0,-1,-2,1,1,5,4,4,1,-2,0,0
-2,-14,-26,-3,-2,2,-2,-1,-3,-2,34,-1,1,-2,0,1,0
0,2,-12,-1,-3,-1,-4,1,1,7,0,2,2,-4,-2,0,0
1,-24,-16,-5,-5,-3,1,1,-6,19,-17,-8,-3,0,-1,-4,0
0,-4,4,1,3,-1,2,0,1,7,3,3,2,4,0,1,0
-1,11,1,1,0,0,-1,-2,2,-13,18,3,-1,-3,-1,-1,0
1,-14,0,-1,-4,-2,-2,-3,-2,16,-13,-5,-14,-4,0,0,0
-3,-10,19,1,16,2,-3,0,0,11,-38,-5,-2,1,-2,1,0
-2,-3,6,2,-2,-1,-3,-2,1,3,12,-5,-6,-2,-1,-1,0
-2,-3,-3,-6,-6,-5,-2,-2,3,20,33,4,1,1,1,0,0
-1,-6,-24,2,5,3,1,0,1,-11,-4,-1,0,-4,-1,-3,0
2,7,1,2,3,-2,-2,-2,-1,-2,-8,1,0,1,-1,-1,0
0,9,20,0,-5,-3,0,1,-3,-16,20,1,-5,-3,-3,-2,0
-1,3,-44,-3,3,-1,2,0,2,5,8,2,2,3,0,0,0
-3,-1,-6,-3,0,1,0,-2,-2,7,-20,1,2,-1,-2,0,0
