Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
0,2,32,5,1,1,-1,1,0,-8,-76,-7,1,0,0,0,0
-3,8,-11,0,-6,-3,-1,0,-4,-9,17,-17,-6,-2,-2,-3,0
-1,3,-1,-4,-1,-3,-1,-1,1,-4,-10,1,-1,1,-2,-1,0
1,-4,9,10,4,2,0,0,0,1,-3,4,-1,0,-1,-1,0
0,0,8,2,1,0,-1,-1,-1,-1,11,-2,3,1,-2,-3,0
-2,-3,-7,5,-3,-2,-2,-1,-2,1,-2,-17,-4,-1,-1,0,0
-2,-2,-1,-1,-3,-2,-2,-1,-1,-1,3,1,-3,-2,0,0,0
0,0,6,5,2,0,-2,0,-1,-2,-1,0,0,-1,-1,0,0
-1,2,-12,0,-2,0,1,-2,0,-2,7,-4,-1,-3,-2,-2,0
2,-3,30,17,4,3,0,0,-4,-3,-70,-17,-8,-5,-3,-2,0
-1,-5,-8,-14,-3,-2,-2,0,-1,-2,0,-2,-2,-1,-1,-1,0
-1,-3,9,-4,0,0,1,-1,1,5,29,19,4,2,0,0,0
0,0,-4,4,2,1,-4,1,-3,3,10,-4,-2,0,0,-1,0
-2,-2,13,3,-3,-2,0,-2,0,-8,-42,-6,1,0,1,-1,0
0,-3,-32,-10,-4,-2,-1,-1,-1,2,36,5,-2,-3,-1,-1,0
-1,0,-44,-16,-2,0,-1,-2,0,3,34,9,1,0,-1,-2,0
-1,-1,14,6,0,0,0,-2,0,0,-7,5,-2,0,-2,0,0
1,2,-1,-3,2,-1,0,0,-1,-3,1,3,-2,-1,-3,0,0
-3,-2,0,-1,-3,-1,-1,-3,-2,-3,-1,-4,0,1,-1,-1,0
0,-2,-6,-4,-1,-1,-1,0,1,2,13,2,2,0,0,0,0
1,1,16,3,-1,-1,1,1,-1,-3,-13,-2,-3,-2,-3,-2,0
0,15,83,13,0,-1,0,-1,-4,-16,-91,-11,-1,-1,-2,-2,0
-3,1,45,-14,-3,-2,-1,-1,1,-7,20,-7,0,0,0,0,0
-1,1,0,3,1,1,-1,1,1,6,46,16,0,-1,0,1,0
-1,3,-24,4,0,-1,-2,-2,-2,-1,-18,-3,-2,-1,-2,-2,0
-2,-9,-22,-8,-3,-2,-1,-1,-1,9,25,0,0,0,1,-1,0
0,-8,-27,-5,-1,0,-1,0,0,-1,8,0,-1,-3,-1,0,0
-1,-4,7,2,-1,0,-1,-2,-1,-5,-47,-10,-3,1,0,-2,0
0,5,4,7,2,0,0,0,0,-4,9,1,-1,0,1,-2,0
-1,-3,36,7,-5,-2,-3,-4,-1,-7,-53,-28,-5,-3,0,0,0
-2,-4,13,3,0,1,0,-1,1,-4,-4,1,0,0,-1,1,0
-1,6,-15,-4,-2,-3,-2,-1,2,1,33,8,2,-1,0,-1,0
-3,-3,-14,-3,-5,-2,-3,-3,-3,4,-17,0,6,2,-2,-1,0
2,-4,52,4,3,2,1,2,-2,-4,-9,-13,-5,-5,-2,-1,0
2,0,31,6,-1,0,-1,0,-1,5,-9,-11,-3,-1,-2,-1,0
-1,-2,-53,-8,-4,-1,-2,-1,0,0,35,5,-1,0,0,-2,0
-1,-3,3,10,0,0,1,-2,-1,4,16,7,-1,-4,-1,-1,0
1,1,-38,-1,0,-1,0,0,0,-2,38,1,0,2,-1,0,0
-2,-3,-17,-11,-1,-1,0,-1,-2,-3,2,1,-2,0,0,-1,0
0,-6,-29,-8,-1,-3,-2,0,0,4,29,12,0,-2,-4,-2,0
1,-8,9,8,3,0,-2,-2,-1,11,-26,-10,-4,-1,0,0,0
-4,-11,-39,-14,-3,-1,0,-3,-3,2,24,6,1,-2,-2,0,0
1,-1,-5,-3,-3,-1,0,0,-2,-8,-6,2,-2,-3,1,-2,0
1,2,15,7,1,1,0,-2,-1,-2,5,5,-1,0,0,-1,0
