Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Label
-1,1,-1,-5,-7,-3,-2,-1,-2,-2,-2,0,12,5,-1,-2,0
1,1,2,3,1,1,1,0,-1,-3,0,-2,-2,-2,-1,-1,0
-1,1,-3,-2,-2,5,2,1,1,0,-1,-1,-7,-11,-2,0,0
-2,0,-2,0,-5,2,0,1,1,0,-1,-1,-2,-1,3,-1,0
-2,-2,-3,-4,4,-4,-2,-2,-2,-3,-3,-2,24,4,-1,0,0
-2,2,3,8,-38,-5,0,-1,0,-3,-2,-4,3,-4,6,0,0
-1,-1,-3,-2,1,-3,-3,-1,-1,0,0,1,11,5,1,0,0
-1,-3,-2,-1,9,4,-3,0,-2,0,-1,-1,-9,-1,-4,-3,0
-2,-2,-3,-3,13,-2,-1,-2,-3,-3,-1,-5,-13,-3,1,-2,0
-2,-3,-5,-4,0,0,1,-2,-1,1,2,3,0,-3,-4,-2,0
0,-2,-1,-3,1,4,0,1,1,1,0,1,-9,-1,-3,-2,0
-1,0,-2,1,-9,-4,1,0,0,-2,0,-1,11,1,1,0,0
-2,-1,0,0,-6,1,-2,1,0,1,-1,-2,-9,-1,0,1,0
1,1,0,-3,20,1,-1,-1,-2,-1,-3,3,-7,1,0,-1,0
-1,-3,-2,0,-4,1,-1,-1,-3,-4,-1,1,-3,-6,-5,-2,0
-1,1,0,-4,-11,-6,-1,-1,-1,0,0,1,15,1,-2,0,0
-1,1,2,0,-3,-3,-2,0,-3,0,-1,-3,-2,0,1,-1,0
-1,-2,-3,-3,2,-2,-2,-2,0,0,0,1,-15,5,-6,-2,0
-3,-3,-3,-4,7,3,7,1,0,-2,0,6,-19,-2,3,-3,0
-1,0,0,0,12,2,0,0,-1,-2,-3,-4,0,-6,-4,0,0
0,0,-1,-1,-4,-2,-4,-2,0,0,-2,-1,0,2,0,0,0
0,0,0,-2,-4,-1,-1,0,2,1,-2,-1,0,1,1,-2,0
-1,1,3,4,-6,-1,0,1,-3,-2,-3,-11,10,-11,-2,-1,0
-1,-2,-3,4,-12,2,-3,-2,-1,0,2,5,18,-1,2,-1,0
