id,time,gesture_id,gesture_name,s1,s2,s3,s4,s5,s6,s7,s8
0,1733756145.803383,0,thumbs-up,559,629,442,349,291,156,347,556
1,1733756145.826426,0,thumbs-up,241,285,177,161,130,80,163,253
2,1733756145.848451,0,thumbs-up,202,223,129,92,103,59,124,185
3,1733756145.863474,0,thumbs-up,162,167,83,66,77,43,89,123
4,1733756145.885427,0,thumbs-up,136,132,66,54,66,37,67,88
5,1733756145.908852,0,thumbs-up,150,144,55,47,60,32,58,89
6,1733756145.923363,0,thumbs-up,136,134,40,34,50,33,37,72
7,1733756145.945538,0,thumbs-up,144,114,39,34,44,32,39,76
8,1733756145.968453,0,thumbs-up,149,125,37,36,37,32,38,82
9,1733756145.983379,0,thumbs-up,147,134,38,33,47,30,36,83
10,1733756146.006584,0,thumbs-up,147,131,39,29,47,32,38,78
11,1733756146.028841,0,thumbs-up,142,143,39,30,45,29,36,76
12,1733756146.043324,0,thumbs-up,123,139,41,30,44,28,32,70
13,1733756146.065445,0,thumbs-up,127,141,42,28,45,35,31,73
14,1733756146.088169,0,thumbs-up,127,132,41,29,46,36,31,71
15,1733756146.102819,0,thumbs-up,120,119,40,29,45,34,29,76
16,1733756146.125436,0,thumbs-up,151,114,40,27,48,33,30,80
17,1733756146.148373,0,thumbs-up,161,124,38,31,50,34,32,84
18,1733756146.163395,0,thumbs-up,151,116,38,33,50,26,32,74
19,1733756146.185736,0,thumbs-up,154,118,41,38,39,26,32,75
20,1733756146.207911,0,thumbs-up,146,115,41,37,49,28,35,70
21,1733756146.223432,0,thumbs-up,113,106,41,42,45,28,35,63
22,1733756146.245902,0,thumbs-up,102,116,42,42,43,27,34,59
23,1733756146.268463,0,thumbs-up,107,107,42,42,45,34,34,60
24,1733756146.283334,0,thumbs-up,125,110,36,38,46,33,33,64
25,1733756146.306575,0,thumbs-up,118,110,33,38,39,32,30,62
26,1733756146.32867,0,thumbs-up,119,103,33,32,39,33,29,58
27,1733756146.343793,0,thumbs-up,121,96,31,27,41,33,29,57
28,1733756146.365419,0,thumbs-up,117,96,31,26,39,28,28,57
29,1733756146.388362,0,thumbs-up,141,98,33,26,37,28,28,54
30,1733756146.40343,0,thumbs-up,149,108,33,26,33,32,27,51
31,1733756146.425832,0,thumbs-up,158,115,36,27,47,31,26,55
32,1733756146.448445,0,thumbs-up,161,99,35,35,47,33,27,52
33,1733756146.46351,0,thumbs-up,170,100,36,34,46,36,28,50
34,1733756146.486539,0,thumbs-up,146,109,36,34,47,34,27,42
35,1733756146.508547,0,thumbs-up,132,96,38,33,44,32,26,44
36,1733756146.530832,0,thumbs-up,118,92,36,37,32,31,25,43
37,1733756146.546068,0,thumbs-up,127,118,37,32,27,29,25,55
38,1733756146.568744,0,thumbs-up,128,119,36,33,47,28,28,59
39,1733756146.591304,0,thumbs-up,115,108,35,35,46,31,31,60
40,1733756146.606477,0,thumbs-up,127,107,31,34,47,30,31,59
41,1733756146.62818,0,thumbs-up,136,119,30,35,49,32,33,59
42,1733756146.650749,0,thumbs-up,121,92,29,35,50,34,33,55
43,1733756146.665334,0,thumbs-up,111,96,31,32,40,33,30,52
44,1733756146.688149,0,thumbs-up,112,94,32,33,41,32,30,52
45,1733756146.711332,0,thumbs-up,138,110,32,36,43,31,31,57
46,1733756146.733386,0,thumbs-up,130,97,35,31,39,29,28,55
47,1733756146.748406,0,thumbs-up,137,100,37,30,42,31,26,50
48,1733756146.770554,0,thumbs-up,140,94,36,34,49,29,27,48
49,1733756146.793642,0,thumbs-up,137,93,35,34,48,28,25,48
50,1733756146.808147,0,thumbs-up,126,66,36,31,47,28,22,39
51,1733756146.830696,0,thumbs-up,125,77,33,34,48,28,22,38
52,1733756146.853773,0,thumbs-up,117,81,33,35,45,24,25,44
53,1733756146.868407,0,thumbs-up,112,87,31,35,33,25,24,48
54,1733756146.890427,0,thumbs-up,114,88,30,36,48,25,25,48
55,1733756146.913283,0,thumbs-up,83,105,31,35,47,26,28,50
56,1733756146.928349,0,thumbs-up,91,102,32,37,49,27,29,51
57,1733756146.950381,0,thumbs-up,97,111,30,36,49,27,27,51
58,1733756146.973404,0,thumbs-up,115,116,34,34,49,27,30,53
59,1733756146.995893,0,thumbs-up,128,131,35,32,37,29,31,57
60,1733756147.010987,0,thumbs-up,141,133,35,33,36,28,31,64
61,1733756147.03367,0,thumbs-up,151,137,37,29,34,27,34,69
62,1733756147.055838,0,thumbs-up,175,154,39,32,34,31,37,78
63,1733756147.070329,0,thumbs-up,179,216,44,36,37,32,42,91
64,1733756147.093307,0,thumbs-up,195,229,45,47,41,34,44,89
65,1733756147.115395,0,thumbs-up,200,230,44,51,57,32,44,85
66,1733756147.130629,0,thumbs-up,198,231,42,57,59,37,41,88
67,1733756147.152923,0,thumbs-up,180,273,52,68,63,36,42,84
68,1733756147.176321,0,thumbs-up,180,235,45,78,72,37,38,71
69,1733756147.190344,0,thumbs-up,178,233,49,72,73,37,34,71
70,1733756147.213319,0,thumbs-up,168,248,49,72,62,38,33,73
71,1733756147.236815,0,thumbs-up,176,249,55,76,66,41,33,67
72,1733756147.250333,0,thumbs-up,173,183,46,66,62,38,27,56
73,1733756147.273371,0,thumbs-up,158,199,48,51,48,37,24,50
74,1733756147.2953,0,thumbs-up,153,183,46,62,55,38,29,56
75,1733756147.310329,0,thumbs-up,149,149,47,66,56,39,29,55
76,1733756147.333407,0,thumbs-up,136,139,41,120,57,31,28,51
77,1733756147.356404,0,thumbs-up,150,136,56,128,58,32,34,66
78,1733756147.370282,0,thumbs-up,163,82,57,153,58,32,34,66
79,1733756147.393338,0,thumbs-up,157,75,68,157,59,32,30,61
80,1733756147.415888,0,thumbs-up,158,80,71,159,60,31,31,64
81,1733756147.430502,0,thumbs-up,166,85,74,122,53,32,34,69
82,1733756147.453585,0,thumbs-up,155,85,65,116,51,31,31,59
83,1733756147.475933,0,thumbs-up,160,85,66,80,51,34,32,65
84,1733756147.491313,0,thumbs-up,160,76,56,65,37,30,31,71
85,1733756147.513444,0,thumbs-up,183,74,51,52,35,33,32,75
86,1733756147.536005,0,thumbs-up,180,76,47,43,33,31,34,74
87,1733756147.550522,0,thumbs-up,189,117,50,34,35,31,33,77
88,1733756147.573493,0,thumbs-up,191,157,52,34,32,30,32,74
89,1733756147.595788,0,thumbs-up,188,179,55,31,34,29,34,72
90,1733756147.610779,0,thumbs-up,200,247,54,30,30,28,35,72
91,1733756147.633323,0,thumbs-up,200,257,56,33,32,28,31,73
