id,time,gesture_id,gesture_name,s1,s2,s3,s4,s5,s6,s7,s8
0,1733752902.888098,0,thumbs-up,219,196,390,192,164,135,127,128
1,1733752902.910206,0,thumbs-up,147,249,227,92,99,63,62,64
2,1733752902.93326,0,thumbs-up,146,260,165,75,63,53,50,59
3,1733752902.947715,0,thumbs-up,152,329,167,62,58,43,43,58
4,1733752902.970271,0,thumbs-up,204,366,139,50,51,34,38,58
5,1733752902.992352,0,thumbs-up,215,376,125,46,39,31,34,57
6,1733752903.007207,0,thumbs-up,202,349,113,39,34,27,30,55
7,1733752903.03054,0,thumbs-up,240,372,111,39,28,25,30,57
8,1733752903.052203,0,thumbs-up,244,396,108,33,27,24,28,47
9,1733752903.067685,0,thumbs-up,201,406,94,35,26,22,28,44
10,1733752903.090706,0,thumbs-up,196,411,87,31,24,23,29,46
11,1733752903.112238,0,thumbs-up,200,409,115,32,22,21,27,48
12,1733752903.127244,0,thumbs-up,154,386,117,32,25,22,25,41
13,1733752903.149956,0,thumbs-up,139,327,123,31,25,22,25,40
14,1733752903.173069,0,thumbs-up,155,272,127,32,27,23,26,39
15,1733752903.187229,0,thumbs-up,153,242,143,35,29,24,27,36
16,1733752903.210288,0,thumbs-up,151,199,135,36,30,24,26,34
17,1733752903.232515,0,thumbs-up,154,200,132,34,27,24,26,37
18,1733752903.248067,0,thumbs-up,156,174,121,34,27,23,25,38
19,1733752903.270241,0,thumbs-up,167,257,119,34,25,24,26,40
20,1733752903.292362,0,thumbs-up,149,278,97,33,22,22,25,39
21,1733752903.307893,0,thumbs-up,156,290,77,33,23,23,25,50
22,1733752903.330426,0,thumbs-up,156,288,79,34,23,22,25,49
23,1733752903.360176,0,thumbs-up,179,278,85,39,23,23,25,52
24,1733752903.367203,0,thumbs-up,157,291,84,40,24,23,25,51
25,1733752903.390255,0,thumbs-up,156,270,85,41,25,22,24,52
26,1733752903.413054,0,thumbs-up,190,266,91,44,25,21,24,43
27,1733752903.42717,0,thumbs-up,189,284,97,42,25,21,27,46
28,1733752903.450137,0,thumbs-up,168,282,99,40,25,19,25,41
29,1733752903.472183,0,thumbs-up,165,209,109,37,26,20,29,47
30,1733752903.487758,0,thumbs-up,169,252,113,37,27,22,29,48
31,1733752903.517805,0,thumbs-up,109,246,110,32,27,23,31,47
32,1733752903.53306,0,thumbs-up,100,231,104,32,26,24,28,46
33,1733752903.547582,0,thumbs-up,92,233,100,31,26,25,30,46
34,1733752903.570163,0,thumbs-up,233,322,93,31,25,24,25,40
35,1733752903.593059,0,thumbs-up,239,303,90,32,23,23,26,39
36,1733752903.615156,0,thumbs-up,238,311,88,31,24,23,26,41
37,1733752903.630189,0,thumbs-up,247,302,91,33,24,23,29,42
38,1733752903.653134,0,thumbs-up,266,303,95,35,25,24,29,43
39,1733752903.67516,0,thumbs-up,206,205,82,35,23,23,28,40
40,1733752903.690191,0,thumbs-up,203,221,81,34,24,23,28,39
41,1733752903.712134,0,thumbs-up,209,227,84,41,24,22,27,39
42,1733752903.734631,0,thumbs-up,221,238,97,41,25,21,28,39
43,1733752903.750148,0,thumbs-up,211,308,94,40,29,20,27,39
44,1733752903.772238,0,thumbs-up,170,300,99,37,28,22,29,42
45,1733752903.794671,0,thumbs-up,176,290,103,38,28,23,29,48
46,1733752903.817201,0,thumbs-up,180,278,98,35,27,23,28,48
47,1733752903.832223,0,thumbs-up,162,326,82,34,27,24,24,49
48,1733752903.854708,0,thumbs-up,148,270,80,34,23,24,24,52
49,1733752903.877297,0,thumbs-up,152,278,81,38,24,22,24,50
50,1733752903.892391,0,thumbs-up,134,265,79,36,24,21,22,47
51,1733752903.915153,0,thumbs-up,132,275,115,32,24,22,25,47
52,1733752903.937229,0,thumbs-up,123,260,152,38,25,22,27,47
53,1733752903.951798,0,thumbs-up,130,266,175,37,26,22,28,60
54,1733752903.974614,0,thumbs-up,118,242,175,37,26,22,27,64
55,1733752903.997152,0,thumbs-up,123,263,181,37,27,23,27,64
56,1733752904.012178,0,thumbs-up,157,281,167,37,28,22,24,71
57,1733752904.034797,0,thumbs-up,174,307,165,36,25,22,23,73
58,1733752904.05743,0,thumbs-up,169,320,159,35,24,23,25,63
59,1733752904.080058,0,thumbs-up,183,334,173,35,26,24,26,61
60,1733752904.094633,0,thumbs-up,187,337,167,37,26,24,28,60
61,1733752904.117177,0,thumbs-up,158,401,169,38,27,25,29,54
62,1733752904.139986,0,thumbs-up,155,381,163,35,28,24,28,46
63,1733752904.155009,0,thumbs-up,159,427,190,33,29,23,28,43
64,1733752904.177613,0,thumbs-up,150,467,182,31,27,25,27,44
65,1733752904.200629,0,thumbs-up,149,458,181,30,26,24,26,45
66,1733752904.215128,0,thumbs-up,164,397,175,30,24,24,26,43
67,1733752904.237173,0,thumbs-up,158,412,157,26,24,24,27,44
68,1733752904.260194,0,thumbs-up,165,345,109,29,22,23,26,44
69,1733752904.275188,0,thumbs-up,171,274,102,28,21,20,25,40
70,1733752904.297011,0,thumbs-up,186,269,108,30,25,21,26,37
71,1733752904.32054,0,thumbs-up,187,245,113,29,24,22,24,39
72,1733752904.335194,0,thumbs-up,181,301,113,30,23,22,23,41
73,1733752904.357156,0,thumbs-up,184,307,107,31,24,22,21,48
74,1733752904.380071,0,thumbs-up,181,313,108,33,26,23,24,47
75,1733752904.39459,0,thumbs-up,164,327,115,36,25,24,22,50
76,1733752904.417145,0,thumbs-up,170,373,113,37,25,24,24,50
77,1733752904.440048,0,thumbs-up,169,283,112,36,27,24,24,47
78,1733752904.454603,0,thumbs-up,162,277,113,37,27,24,24,41
79,1733752904.4771,0,thumbs-up,161,282,109,37,26,24,24,41
80,1733752904.499051,0,thumbs-up,162,319,95,31,23,21,25,43
81,1733752904.515125,0,thumbs-up,136,267,102,32,23,20,25,39
82,1733752904.537531,0,thumbs-up,142,258,97,35,24,18,28,38
83,1733752904.560549,0,thumbs-up,128,349,98,33,24,20,27,38
84,1733752904.575139,0,thumbs-up,116,345,98,32,27,19,26,38
85,1733752904.597544,0,thumbs-up,109,333,123,35,29,21,28,39
86,1733752904.620201,0,thumbs-up,134,333,116,34,30,20,26,40
87,1733752904.635391,0,thumbs-up,127,330,116,33,30,20,23,40
88,1733752904.657975,0,thumbs-up,141,278,110,32,29,20,25,41
89,1733752904.67983,0,thumbs-up,141,298,121,30,27,22,23,44
90,1733752904.695367,0,thumbs-up,141,248,91,29,24,22,22,44
91,1733752904.717807,0,thumbs-up,134,270,85,28,24,23,22,42
92,1733752904.739888,0,thumbs-up,130,334,105,28,25,24,23,43
93,1733752904.755424,0,thumbs-up,121,308,111,30,26,23,22,42
94,1733752904.777098,0,thumbs-up,127,294,99,32,28,22,23,38
95,1733752904.799495,0,thumbs-up,144,307,119,32,29,22,22,35
96,1733752904.81501,0,thumbs-up,131,355,123,32,31,24,25,38
97,1733752904.837053,0,thumbs-up,158,298,112,35,31,23,25,38
98,1733752904.860053,0,thumbs-up,189,283,110,34,31,24,25,40
99,1733752904.875066,0,thumbs-up,188,281,122,33,30,23,25,46
100,1733752904.897329,0,thumbs-up,175,267,104,34,29,22,29,46
